"""Question ID"",""Subject"",""Question Text"",""Options"",""Correct Answer"",""Difficulty Level"",""Skill Type"",""Topic"",""Subtopic"""
"""Q042"",""Chemistry"",""The mass percentage of carbon in CO₂ is:"",""A) 27.27%;B) 33.33%;C) 44.44%;D) 50%"",""A"",""Medium"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q043"",""Chemistry"",""Which gas shows the greatest deviation from ideal behavior at high pressure?"",""A) He;B) H₂;C) CO₂;D) Ne"",""C"",""Medium"",""Conceptual Understanding"",""Physical Chemistry"",""Gaseous State"""
"""Q044"",""Chemistry"",""The catalyst used in the contact process is:"",""A) Fe;B) Pt;C) V₂O₅;D) Ni"",""C"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Industrial Chemistry"""
"""Q045"",""Chemistry"",""The number of chain isomers of C₅H₁₂ is:"",""A) 2;B) 3;C) 4;D) 5"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Isomerism"""
"""Q046"",""Chemistry"",""The pH of a solution with [H⁺] = 10⁻⁵ M is:"",""A) 3;B) 4;C) 5;D) 6"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q047"",""Chemistry"",""Which element is a non-metal?"",""A) Sodium;B) Sulfur;C) Magnesium;D) Aluminum"",""B"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Periodic Table"""
"""Q048"",""Chemistry"",""The reaction H₂SO₄ + 2NaOH → Na₂SO₄ + 2H₂O is an example of:"",""A) Redox;B) Neutralization;C) Precipitation;D) Decomposition"",""B"",""Easy"",""Conceptual Understanding"",""Physical Chemistry"",""Chemical Reactions"""
"""Q049"",""Chemistry"",""The bond angle in NH₃ is approximately:"",""A) 90°;B) 104.5°C) 107°;D) 120°"",""C"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q050"",""Chemistry"",""The charge of one mole of electrons is approximately:"",""A) 96,500 C;B) 48,250 C;C) 24,125 C;D) 12,062 C"",""A"",""Easy"",""Definition-Based Knowledge"",""Physical Chemistry"",""Electrochemistry"""
"""Q051"",""Chemistry"",""Which compound is least soluble in water?"",""A) NaCl;B) CH₃OH;C) C₆H₆;D) CH₃CH₂OH"",""C"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Solubility"""
"""Q052"",""Chemistry"",""The empirical formula of C₄H₈ is:"",""A) CH;B) CH₂;C) C₂H₄;D) C₄H₈"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Mole Concept"""
"""Q053"",""Chemistry"",""The coordination number of Cs⁺ in CsCl crystal is:"",""A) 4;B) 6;C) 8;D) 12"",""C"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Solid State"""
"""Q054"",""Chemistry"",""The reaction H₂ + I₂ ⇌ 2HI is endothermic. Increasing temperature will:"",""A) Shift equilibrium left;B) Shift equilibrium right;C) No effect;D) Decrease Kc"",""B"",""Medium"",""Analytical Skills"",""Physical Chemistry"",""Chemical Equilibrium"""
"""Q055"",""Chemistry"",""Which gas contributes to acid rain?"",""A) N₂;B) O₂;C) SO₂;D) H₂"",""C"",""Easy"",""Definition-Based Knowledge"",""Inorganic Chemistry"",""Environmental Chemistry"""
"""Q056"",""Chemistry"",""The order of boiling points of halogens is:"",""A) F₂ < Cl₂ < Br₂ < I₂;B) I₂ < Br₂ < Cl₂ < F₂;C) Cl₂ < F₂ < Br₂ < I₂;D) F₂ < I₂ < Br₂ < Cl₂"",""A"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Periodic Table"""
"""Q057"",""Chemistry"",""What is the product of CH₃COOH with LiAlH₄?"",""A) CH₃CH₂OH;B) CH₃CHO;C) CH₃CH₃;D) CH₃COCH₃"",""A"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Reduction Reactions"""
"""Q058"",""Chemistry"",""The van’t Hoff factor for CaCl₂ in water is approximately:"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Colligative Properties"""
"""Q001"",""Mathematics"",""If the roots of the equation x² - 2kx + k² - 1 = 0 are real and distinct, then k lies in:"",""A) (-∞, -1) ∪ (1, ∞);B) (-1, 1);C) (-∞, 1);D) (1, ∞)"",""A"",""Hard"",""Analytical Skills"",""Algebra"",""Quadratic Equations"""
"""Q002"",""Physics"",""A particle moves in a circle of radius 2 m with a constant speed of 4 m/s. If its mass is 1 kg, the work done by the centripetal force in one revolution is:"",""A) 0 J;B) 8 J;C) 16 J;D) 32 J"",""A"",""Medium"",""Conceptual Understanding"",""Mechanics"",""Circular Motion"""
"""Q003"",""Chemistry"",""The number of unpaired electrons in [Co(NH₃)₆]³⁺ (Co atomic number = 27) is:"",""A) 0;B) 2;C) 4;D) 6"",""A"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q004"",""Mathematics"",""The value of ∫(0 to π/2) sin⁴x dx is:"",""A) π/8;B) 3π/32;C) π/16;D) 5π/32"",""B"",""Hard"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q005"",""Physics"",""A capacitor of 2 μF is charged to 100 V and then connected to an uncharged 3 μF capacitor. The final potential difference across them is:"",""A) 40 V;B) 60 V;C) 80 V;D) 100 V"",""A"",""Medium"",""Formula Application"",""Electrodynamics"",""Capacitance"""
"""Q006"",""Chemistry"",""The rate of a reaction triples when the temperature increases from 300 K to 310 K. The activation energy (R = 8.314 J/mol·K) is approximately:"",""A) 52 kJ/mol;B) 58 kJ/mol;C) 64 kJ/mol;D) 70 kJ/mol"",""B"",""Hard"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q007"",""Mathematics"",""If A = {1, 2, 3} and B = {4, 5}, the number of onto functions from A to B is:"",""A) 0;B) 2;C) 6;D) 8"",""A"",""Medium"",""Analytical Skills"",""Algebra"",""Functions"""
"""Q008"",""Physics"",""A block of mass 2 kg slides down a 30° incline with coefficient of friction 0.2 (g = 10 m/s²). The acceleration of the block is:"",""A) 3.2 m/s²;B) 4.0 m/s²;C) 5.0 m/s²;D) 6.0 m/s²"",""A"",""Medium"",""Formula Application"",""Mechanics"",""Newton’s Laws"""
"""Q009"",""Chemistry"",""The hybridization of carbon atoms in benzene (C₆H₆) is:"",""A) sp;B) sp²;C) sp³;D) sp³d"",""B"",""Medium"",""Conceptual Understanding"",""Organic Chemistry"",""Chemical Bonding"""
"""Q010"",""Mathematics"",""The sum of the series 1 + 1/3 + 1/9 + ... to infinity is:"",""A) 1;B) 3/2;C) 2;D) 3"",""B"",""Medium"",""Formula Application"",""Algebra"",""Geometric Series"""
"""Q011"",""Physics"",""A projectile is launched at 45° with a speed of 20√2 m/s. The maximum height reached (g = 10 m/s²) is:"",""A) 10 m;B) 20 m;C) 30 m;D) 40 m"",""B"",""Medium"",""Formula Application"",""Mechanics"",""Projectile Motion"""
"""Q012"",""Chemistry"",""The pH of a solution formed by mixing 50 mL of 0.1 M HCl and 50 mL of 0.1 M NaOH is:"",""A) 1;B) 7;C) 13;D) 14"",""B"",""Medium"",""Formula Application"",""Physical Chemistry"",""Acids and Bases"""
"""Q013"",""Mathematics"",""If tan⁻¹x + tan⁻¹y = π/4, then the maximum value of x + y (x, y > 0) is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Hard"",""Analytical Skills"",""Trigonometry"",""Inverse Trigonometric Functions"""
"""Q014"",""Physics"",""A wire of length 1 m and resistance 10 Ω is stretched to 2 m. The new resistance is:"",""A) 20 Ω;B) 30 Ω;C) 40 Ω;D) 50 Ω"",""C"",""Medium"",""Formula Application"",""Electrodynamics"",""Current Electricity"""
"""Q015"",""Chemistry"",""The number of stereoisomers of CH₃CH(OH)CH=CHCH₃ is:"",""A) 2;B) 4;C) 6;D) 8"",""B"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Stereochemistry"""
"""Q016"",""Mathematics"",""The area enclosed by the curve y = x² and the line y = 4 from x = 0 to x = 2 is:"",""A) 8/3;B) 16/3;C) 20/3;D) 32/3"",""B"",""Medium"",""Formula Application"",""Calculus"",""Area Under Curves"""
"""Q017"",""Physics"",""A Carnot engine operates between 400 K and 300 K. If it absorbs 800 J of heat, the work done is:"",""A) 200 J;B) 300 J;C) 400 J;D) 600 J"",""A"",""Medium"",""Formula Application"",""Thermodynamics"",""Heat Engines"""
"""Q018"",""Chemistry"",""The oxidation state of Cr in [Cr(H₂O)₆]³⁺ is:"",""A) +2;B) +3;C) +4;D) +6"",""B"",""Medium"",""Analytical Skills"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q019"",""Mathematics"",""If a, b, c are in AP and a², b², c² are in GP, then a, b, c are in:"",""A) AP;B) GP;C) HP;D) None"",""B"",""Hard"",""Analytical Skills"",""Algebra"",""Sequences and Series"""
"""Q020"",""Physics"",""The de Broglie wavelength of an electron accelerated through 200 V (h = 6.6 × 10⁻³⁴ J·s, m = 9.1 × 10⁻³¹ kg, e = 1.6 × 10⁻¹⁹ C) is approximately:"",""A) 0.086 nm;B) 0.086 Å;C) 0.86 nm;D) 0.86 Å"",""A"",""Hard"",""Formula Application"",""Modern Physics"",""Quantum Mechanics"""
"""Q021"",""Chemistry"",""The Ksp of PbCl₂ is 1.6 × 10⁻⁵. The solubility of PbCl₂ in mol/L is approximately:"",""A) 1.6 × 10⁻²;B) 2.0 × 10⁻²;C) 1.6 × 10⁻³;D) 2.0 × 10⁻³"",""D"",""Hard"",""Formula Application"",""Physical Chemistry"",""Ionic Equilibrium"""
"""Q022"",""Mathematics"",""The number of solutions of the equation |x - 1| + |x - 2| = 1 is:"",""A) 1;B) 2;C) 3;D) Infinite"",""B"",""Medium"",""Analytical Skills"",""Algebra"",""Absolute Value Equations"""
"""Q023"",""Physics"",""A convex lens of focal length 20 cm forms an image at 40 cm when the object is at:"",""A) 10 cm;B) 20 cm;C) 30 cm;D) 40 cm"",""C"",""Medium"",""Formula Application"",""Optics"",""Geometrical Optics"""
"""Q024"",""Chemistry"",""The major product of the reaction of CH₃CH=CH₂ with HBr in the presence of peroxides is:"",""A) CH₃CH₂CH₂Br;B) CH₃CHBrCH₃;C) CH₂BrCH₂CH₃;D) CH₃CH₂Br"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Addition Reactions"""
"""Q025"",""Mathematics"",""If z = 1 + i, then |z² + 1| is:"",""A) √2;B) 2;C) 2√2;D) 4"",""B"",""Medium"",""Formula Application"",""Complex Numbers"",""Modulus"""
"""Q026"",""Physics"",""A simple pendulum of length 1 m oscillates with an amplitude of 0.1 m. The maximum tension in the string (g = 10 m/s², m = 1 kg) is approximately:"",""A) 10 N;B) 10.5 N;C) 11 N;D) 12 N"",""C"",""Hard"",""Analytical Skills"",""Mechanics"",""Oscillations"""
"""Q027"",""Chemistry"",""The bond angle in H₂S is closest to:"",""A) 90°;B) 104.5°;C) 109.5°;D) 120°"",""A"",""Medium"",""Conceptual Understanding"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q028"",""Mathematics"",""The probability of getting at least one head in 3 tosses of a fair coin is:"",""A) 1/8;B) 3/8;C) 5/8;D) 7/8"",""D"",""Medium"",""Formula Application"",""Probability"",""Basic Probability"""
"""Q029"",""Physics"",""The magnetic field at a point 0.1 m from a straight wire carrying 5 A (μ₀ = 4π × 10⁻⁷ T·m/A) is:"",""A) 10⁻⁵ T;B) 2 × 10⁻⁵ T;C) 5 × 10⁻⁶ T;D) 10⁻⁶ T"",""A"",""Medium"",""Formula Application"",""Electrodynamics"",""Magnetism"""
"""Q030"",""Chemistry"",""The enthalpy change for the reaction 2H₂(g) + O₂(g) → 2H₂O(l) is -572 kJ. The bond energy of O=O is 498 kJ/mol. The bond energy of H-H is:"",""A) 436 kJ/mol;B) 486 kJ/mol;C) 536 kJ/mol;D) 586 kJ/mol"",""A"",""Hard"",""Analytical Skills"",""Physical Chemistry"",""Thermochemistry"""
"""Q031"",""Mathematics"",""The eccentricity of the ellipse 4x² + 9y² = 36 is:"",""A) √5/3;B) √5/2;C) 1/3;D) 1/2"",""A"",""Medium"",""Formula Application"",""Coordinate Geometry"",""Ellipse"""
"""Q032"",""Physics"",""A radioactive sample decays from 100 g to 25 g in 20 days. The half-life is:"",""A) 5 days;B) 10 days;C) 15 days;D) 20 days"",""B"",""Medium"",""Formula Application"",""Modern Physics"",""Nuclear Physics"""
"""Q033"",""Chemistry"",""The number of chiral centers in CH₃CH(OH)CHBrCH₂CH₃ is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Hard"",""Analytical Skills"",""Organic Chemistry"",""Stereochemistry"""
"""Q034"",""Mathematics"",""If f(x) = x³ - 3x + 1, the number of real roots is:"",""A) 1;B) 2;C) 3;D) None"",""C"",""Hard"",""Analytical Skills"",""Calculus"",""Polynomial Equations"""
"""Q035"",""Physics"",""A sound wave of frequency 500 Hz travels in air (v = 340 m/s). The phase difference between two points 0.34 m apart is:"",""A) π/2;B) π;C) 2π;D) 3π/2"",""B"",""Medium"",""Formula Application"",""Waves"",""Wave Motion"""
"""Q036"",""Chemistry"",""The cell potential for Zn | Zn²⁺ (0.1 M) || Cu²⁺ (0.01 M) | Cu (E°Zn = -0.76 V, E°Cu = 0.34 V) at 298 K is approximately:"",""A) 1.04 V;B) 1.10 V;C) 1.16 V;D) 1.22 V"",""C"",""Hard"",""Formula Application"",""Physical Chemistry"",""Electrochemistry"""
"""Q037"",""Mathematics"",""The value of lim(x→0) (sin x - x)/x³ is:"",""A) -1/6;B) 0;C) 1/6;D) 1/2"",""A"",""Hard"",""Formula Application"",""Calculus"",""Limits"""
"""Q038"",""Physics"",""A thin ring of radius 0.5 m and mass 2 kg rotates at 10 rad/s. Its rotational kinetic energy is:"",""A) 25 J;B) 50 J;C) 100 J;D) 200 J"",""C"",""Medium"",""Formula Application"",""Mechanics"",""Rotational Motion"""
"""Q039"",""Chemistry"",""The reaction CH₃CH₂OH + HBr → CH₃CH₂Br + H₂O follows:"",""A) SN1;B) SN2;C) E1;D) E2"",""B"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Substitution Reactions"""
"""Q040"",""Mathematics"",""The number of ways to arrange 5 distinct books on a shelf if 2 specific books must be together is:"",""A) 120;B) 240;C) 360;D) 480"",""B"",""Medium"",""Formula Application"",""Combinatorics"",""Permutations"""
"""Q041"",""Physics"",""The fringe width in a Young’s double-slit experiment with λ = 600 nm, d = 0.2 mm, and D = 1 m is:"",""A) 1 mm;B) 2 mm;C) 3 mm;D) 4 mm"",""C"",""Medium"",""Formula Application"",""Optics"",""Wave Optics"""
"""Q042"",""Chemistry"",""The bond order of CO is:"",""A) 1;B) 2;C) 3;D) 4"",""C"",""Medium"",""Formula Application"",""Inorganic Chemistry"",""Chemical Bonding"""
"""Q043"",""Mathematics"",""If A is a 3×3 matrix with det(A) = 2, then det(2A) is:"",""A) 4;B) 8;C) 16;D) 64"",""C"",""Hard"",""Formula Application"",""Algebra"",""Matrices"""
"""Q044"",""Physics"",""A gas undergoes an adiabatic process from (P₁, V₁) to (P₂, V₂). If γ = 5/3, then P₁V₁^(5/3) equals:"",""A) P₂V₂;B) P₂V₂^(5/3);C) P₂V₂^(3/5);D) P₁V₁"",""B"",""Medium"",""Formula Application"",""Thermodynamics"",""Thermodynamic Processes"""
"""Q045"",""Chemistry"",""The number of geometrical isomers of [Pt(NH₃)₂Cl₂] is:"",""A) 1;B) 2;C) 3;D) 4"",""B"",""Hard"",""Analytical Skills"",""Inorganic Chemistry"",""Coordination Compounds"""
"""Q046"",""Mathematics"",""The shortest distance between the lines (x-1)/2 = (y+1)/-3 = z/1 and (x-2)/1 = (y-1)/2 = z/3 is:"",""A) √29/5;B) √29/7;C) √29/9;D) √29/11"",""B"",""Hard"",""Analytical Skills"",""Coordinate Geometry"",""3D Geometry"""
"""Q047"",""Physics"",""An electron enters a magnetic field of 0.2 T at 10⁶ m/s perpendicularly. The radius of its path (m = 9.1 × 10⁻³¹ kg, e = 1.6 × 10⁻¹⁹ C) is:"",""A) 2.84 × 10⁻⁵ m;B) 2.84 × 10⁻⁴ m;C) 2.84 × 10⁻³ m;D) 2.84 × 10⁻² m"",""B"",""Hard"",""Formula Application"",""Electrodynamics"",""Motion in Magnetic Field"""
"""Q048"",""Chemistry"",""The half-life of a first-order reaction is 20 minutes. The time for 75% completion is:"",""A) 20 min;B) 30 min;C) 40 min;D) 60 min"",""C"",""Medium"",""Formula Application"",""Physical Chemistry"",""Chemical Kinetics"""
"""Q049"",""Mathematics"",""The value of ∫(0 to 1) ln(1 + x)/x dx is:"",""A) π²/6;B) π²/12;C) π²/18;D) π²/24"",""B"",""Hard"",""Formula Application"",""Calculus"",""Definite Integrals"""
"""Q050"",""Physics"",""A satellite orbits Earth at a height equal to its radius. The orbital speed (g = 10 m/s², R = 6.4 × 10⁶ m) is:"",""A) 5.6 km/s;B) 7.1 km/s;C) 8.9 km/s;D) 11.2 km/s"",""A"",""Hard"",""Formula Application"",""Mechanics"",""Gravitation"""
"""Q051"",""Chemistry"",""The major product of the reaction of toluene with Cl₂ in the presence of FeCl₃ is:"",""A) o-Chlorotoluene;B) p-Chlorotoluene;C) m-Chlorotoluene;D) Benzyl chloride"",""A"",""Medium"",""Analytical Skills"",""Organic Chemistry"",""Electrophilic Substitution"""
"""Q052"",""Mathematics"",""If a + b + c = 0, then a³ + b³ + c³ equals:"",""A) 0;B) 3abc;C) -3abc;D) abc"",""B"",""Medium"",""Formula Application"",""Algebra"",""Identities"""
